Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;Dato;Dataleverandør;Dataansvarlig;Beregner;Xutm_Euref89_Zone32;Yutm_Euref89_Zone32;Parameter;Enhed;Resultat;Beregningsmetode;Kontrol;Kvalitet
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080503";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,51100432872772";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080502";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,57535183429718";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080501";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,47090637683868";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080430";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,49777364730835";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080429";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,52057480812073";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080428";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,59925043582916";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080427";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,6261191368103";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080426";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,67359185218811";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080425";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,72143495082855";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080424";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,79396891593933";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080423";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,8838232755661";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080422";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,99972236156464";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080421";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"2,12220311164856";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080420";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"2,24484419822693";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080419";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"2,39621663093567";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080418";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"2,56415009498596";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080417";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"2,54799389839172";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080416";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"2,64299988746643";"Skønnet";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080415";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"2,83299994468689";"Skønnet";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080414";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"2,96199989318848";"Skønnet";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080413";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,13199996948242";"Skønnet";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080412";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,32200002670288";"Skønnet";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080411";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,25200009346008";"Skønnet";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080410";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,54099988937378";"Skønnet";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080409";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,75099992752075";"Skønnet";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080408";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,31200003623962";"Skønnet";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080407";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,36199998855591";"Skønnet";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080406";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,56100010871887";"Skønnet";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080405";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,75099992752075";"Skønnet";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080404";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,92355036735535";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080403";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"4,11727380752563";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080402";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"4,00369501113892";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080401";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"4,02434825897217";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080331";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"4,37059926986694";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080330";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"4,67872714996338";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080329";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"4,61243915557861";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080328";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"4,58707141876221";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080327";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"4,60839891433716";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080326";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"4,52109909057617";"Beregnet ud fra referencestation";"FagK";"GODK"
