Index,Vandløb,Lokation,UTMx,UTMy, longitude, latitude
101,Ml. Flynder Sø Syd og Flynder Sø Nord,Ml. Flynder Sø Syd og Flynder Sø Nord; SnÆvringen,493696,6261848,8.897593451,56.50101345
102,RØDLERSBÆK,RØDLERSBÆK; MARKBRO,692293,6117042,12.01875696,55.1625728
103,LYBY-GRØNNING GRØFT,LYBY-GRØNNING GRØFT; HULEBRO,502632,6277454,9.042914536,56.64125428
104,VILSTED Å,VILSTED Å; OS VILSTED SØ,517780,6306578,9.291923155,56.90256552
105,RYOM Å,RYOM Å; VEJBRO VED SKAFØ,587666,6248137,10.41926436,56.36974885
106,RYOM Å,RYOM Å; RYOMGÅRD BRO,592691,6248673,10.50077492,56.37360513
107,STORÅ,STORÅ; BROMØLLE,487169,6319234,8.788689449,57.01642388
108,STORÅ,STORÅ; OPSTR. HOLSTEBRO RENSEANLÆG,475358,6245821,8.601213215,56.35642258
109,STORÅ,STORÅ; KÅSTRUP,483902,6320971,8.73477554,57.03192562
110,STORÅ,STORÅ; NS. VANDKRAFT SØ,477588,6245312,8.637344331,56.35196044
111,STORÅ,STORÅ; BUR BRO,464575,6246231,8.426662697,56.35942186
113,STORÅ,STORÅ; HØJRIS BRO,511257,6221918,9.181159465,56.14217283
114,STORÅ,STORÅ; VED GL. GRYDHOLT,484370,6244257,8.747147264,56.34275443
115,STORÅ,STORÅ; ÅBJERG,472381,6246567,8.552958931,56.36296042
116,STORÅ,STORÅ; MØLLEBRO (4.6),562583,6150448,9.990618527,55.49612644
117,STORÅ,STORÅ; SKÆRBÆK,492550,6235549,8.879723909,56.2647169
118,STORÅ,STORÅ; VR. GRYDHOLT,482787,6244942,8.72149393,56.34885381
119,STORÅ,STORÅ; Rotvig Bro,490473,6241100,8.845991642,56.31455267
120,STORÅ,STORÅ; Ø.F. ØRRE KIRKE,493076,6232052,8.888307375,56.23330584
121,STORÅ,STORÅ; SKÆRUM BRO,459467,6243531,8.344413992,56.3347556
122,SØNDER Å,SØNDER Å; EGGEBÆK,512986,6083779,9.202507239,54.9008682
123,SØNDER Å,SØNDER Å; V FOR BEJERSKRO,499640,6082872,8.994387176,54.89288598
126,GUDENÅ,GUDENÅ; MØLLERUP,526726,6193714,9.42729059,55.88815351
127,GUDENÅ,GUDENÅ; MOTORSVEJBRO A10,561130,6257226,9.991871301,56.45556824
128,GUDENÅ,GUDENÅ; SILKEBORG PAPIRFABRIK,534426,6225291,9.554442564,56.17136783
129,GUDENÅ,GUDENÅ; TVILUMBRO,541555,6233023,9.670460406,56.24026416
130,GUDENÅ,GUDENÅ; EMBORG BRO,544733,6212932,9.718355649,56.05947792
131,GUDENÅ,GUDENÅ; 500 m os Vorvadsbro,543400,6207447,9.696063688,56.01032214
133,GUDENÅ,GUDENÅ; VED RESENBRO,539840,6226559,9.641821189,56.18233794
134,GUDENÅ,GUDENÅ; ÅSTEDBRO,538225,6195277,9.611345356,55.90142125
137,GUDENÅ,GUDENÅ; ULSTRUP BRO,548999,6250172,9.793741496,56.39361539
138,GUDENÅ,GUDENÅ; TINNET BRO,525724,6194439,9.411340163,55.89472209
139,GUDENÅ,GUDENÅ; RYE MØLLE,546847,6216555,9.752934995,56.09182493
141,LANDEBY BÆK,LANDEBY BÆK; NORD FOR LØGUMKLOSTER,497030,6102600,8.953489725,55.07016189
142,Fruerskov BÆk,Fruerskov BÆk; ca 45 m opst udl Flensborg Fjord,532713,6080651,9.509770995,54.87185727
143,HalkÆr Å,HalkÆr Å; Bro HalkÆrvej,535193,6308311,9.57804875,56.91713871
